Longitude (deg),Latitude (deg),"Rainfall class (0: < 0.5, 1: [0.5 4), 2: [4,8), 3: >= 8 (mm/day)"
236.25,39.10994764397907,0.0
263.75,10.837696335078533,3.0
325.0,-43.82198952879581,2.0
181.25,48.53403141361255,1.0
193.75,52.30366492146598,1.0
60.0,-21.204188481675388,1.0
223.75,-4.240837696335078,1.0
218.75,-14.607329842931932,1.0
310.0,-55.13089005235602,1.0
102.5,-51.361256544502616,2.0
288.75,30.6282722513089,1.0
335.0,1.4136125654450211,1.0
136.25,-58.90052356020942,1.0
35.0,-19.31937172774869,1.0
130.0,-50.41884816753927,2.0
162.5,-43.82198952879581,1.0
240.0,46.64921465968587,0.0
15.0,-59.84293193717278,1.0
1.25,32.5130890052356,0.0
185.0,-50.41884816753927,1.0
103.75,-8.010471204188477,1.0
268.75,-19.31937172774869,0.0
206.25,17.43455497382199,1.0
5.0,-57.01570680628272,1.0
213.75,58.90052356020942,1.0
221.25,47.591623036649224,1.0
322.5,12.722513089005233,1.0
288.75,47.591623036649224,1.0
7.5,29.685863874345543,0.0
322.5,3.2984293193717207,3.0
143.75,21.204188481675388,2.0
346.25,-22.146596858638745,1.0
196.25,-13.66492146596859,1.0
271.25,-7.068062827225134,0.0
22.5,-42.87958115183246,1.0
340.0,47.591623036649224,1.0
305.0,57.958115183246065,1.0
105.0,22.146596858638745,3.0
53.75,28.7434554973822,0.0
87.5,-53.24607329842932,2.0
65.0,1.4136125654450211,3.0
55.0,-23.0890052356021,1.0
321.25,-52.303664921465966,1.0
332.5,-56.07329842931937,1.0
283.75,-58.90052356020942,1.0
116.25,-16.492146596858646,0.0
232.5,-43.82198952879581,1.0
91.25,53.24607329842931,1.0
62.5,-40.05235602094241,1.0
350.0,-2.356020942408378,0.0
273.75,-55.13089005235602,1.0
212.5,-47.59162303664922,1.0
171.25,24.031413612565444,1.0
27.5,-22.146596858638745,0.0
101.25,16.492146596858632,3.0
100.0,43.8219895287958,1.0
140.0,-40.99476439790576,1.0
132.5,-3.298429319371735,3.0
281.25,-41.93717277486911,1.0
356.25,-19.31937172774869,0.0
153.75,-33.455497382198956,1.0
310.0,-40.05235602094241,1.0
271.25,-30.6282722513089,1.0
206.25,-20.261780104712045,1.0
285.0,-44.76439790575916,3.0
318.75,3.2984293193717207,3.0
258.75,-8.952879581151834,0.0
293.75,-56.07329842931937,1.0
132.5,30.6282722513089,2.0
53.75,33.455497382198956,0.0
102.5,50.41884816753927,1.0
210.0,47.591623036649224,1.0
201.25,-59.84293193717278,1.0
166.25,-14.607329842931932,1.0
87.5,-24.031413612565444,1.0
261.25,24.9738219895288,1.0
196.25,13.66492146596859,2.0
20.0,54.188481675392666,1.0
341.25,11.78010471204189,3.0
296.25,-32.5130890052356,1.0
236.25,-34.397905759162306,2.0
5.0,4.240837696335078,3.0
140.0,50.41884816753927,2.0
337.5,58.90052356020942,1.0
283.75,32.5130890052356,2.0
55.0,25.916230366492144,0.0
242.5,-2.356020942408378,0.0
27.5,-9.89528795811519,0.0
225.0,21.204188481675388,1.0
285.0,-24.9738219895288,0.0
26.25,14.607329842931932,1.0
197.5,-27.80104712041885,2.0
293.75,25.916230366492144,1.0
258.75,26.8586387434555,1.0
16.25,22.146596858638745,0.0
295.0,56.07329842931938,1.0
82.5,-4.240837696335078,2.0
180.0,-4.240837696335078,2.0
60.0,54.188481675392666,1.0
31.25,-34.397905759162306,1.0
191.25,10.837696335078533,2.0
172.5,-22.146596858638745,1.0
311.25,-17.43455497382199,0.0
356.25,8.010471204188477,2.0
193.75,-53.24607329842932,1.0
341.25,-40.99476439790576,1.0
267.5,22.146596858638745,1.0
10.0,31.570680628272257,0.0
42.5,-15.54973821989529,1.0
8.75,23.089005235602087,0.0
53.75,-35.340314136125656,1.0
13.75,-4.240837696335078,0.0
50.0,34.3979057591623,0.0
145.0,-26.8586387434555,1.0
287.5,24.9738219895288,1.0
332.5,3.2984293193717207,2.0
86.25,3.2984293193717207,2.0
242.5,-51.361256544502616,1.0
237.5,-35.340314136125656,2.0
318.75,13.66492146596859,1.0
262.5,-14.607329842931932,0.0
280.0,-8.010471204188477,0.0
68.75,54.188481675392666,1.0
257.5,-47.59162303664922,1.0
256.25,-46.64921465968587,2.0
140.0,-30.6282722513089,1.0
7.5,46.64921465968587,1.0
303.75,-35.340314136125656,1.0
47.5,30.6282722513089,0.0
32.5,53.24607329842931,1.0
296.25,-48.53403141361257,1.0
75.0,-52.303664921465966,2.0
181.25,24.031413612565444,1.0
115.0,55.13089005235602,2.0
110.0,-39.109947643979055,1.0
6.25,-7.068062827225134,0.0
345.0,42.87958115183247,0.0
141.25,-1.4136125654450211,2.0
16.25,-24.031413612565444,0.0
147.5,-34.397905759162306,1.0
281.25,2.356020942408378,3.0
260.0,6.125654450261777,3.0
67.5,25.916230366492144,1.0
281.25,-9.89528795811519,0.0
41.25,-22.146596858638745,0.0
132.5,20.261780104712045,3.0
312.5,35.340314136125656,1.0
138.75,27.801047120418843,1.0
88.75,48.53403141361255,1.0
265.0,-43.82198952879581,2.0
193.75,45.70680628272251,1.0
348.75,-0.47120418848167844,0.0
202.5,41.93717277486911,1.0
177.5,-16.492146596858646,1.0
255.0,-46.64921465968587,2.0
